City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,verkhniy avzyan,53.5289,57.5372,-0.35,99,95,1.5,RU,1675210186
133,dali,25.7,100.1833,44.35,64,2,5.12,CN,1675209947
134,geraldton,-28.7667,114.6,79.21,44,0,24.16,AU,1675210187
135,coquimbo,-29.9533,-71.3436,64.13,88,20,9.22,CL,1675210145
136,tezu,27.9167,96.1667,64.27,29,95,2.42,IN,1675210187
137,loikaw,19.6742,97.2094,58.08,64,26,3.02,MM,1675210188
138,gizo,-8.103,156.8419,84.49,70,76,8.12,SB,1675210188
139,mimongo,-1.6195,11.6068,68.97,99,87,3.33,GA,1675210189
140,tanout,14.9709,8.8879,66.94,16,15,14.72,NE,1675210189
141,petauke,-14.2426,31.3253,64.2,97,95,4.41,ZM,1675210190
142,havelock,34.8791,-76.9013,57.99,90,100,0.0,US,1675210130
143,chokurdakh,70.6333,147.9167,1.65,97,100,4.18,RU,1675210190
144,ahipara,-35.1667,173.1667,74.73,72,57,7.76,NZ,1675210191
145,jeremie,18.65,-74.1167,76.93,74,45,6.31,HT,1675210191
146,bosaso,11.2842,49.1816,72.84,72,28,4.34,SO,1675210137
147,pointe michel,15.25,-61.3833,76.46,72,12,9.4,DM,1675210192
148,komsomolskiy,40.4272,71.7189,29.12,80,86,6.91,UZ,1675210192
149,kosa,59.9445,54.9977,28.87,94,100,10.29,RU,1675210193
150,harper,4.375,-7.7169,79.47,86,4,8.23,LR,1675210163
151,mokhsogollokh,61.4681,128.9203,-27.81,93,100,8.14,RU,1675210193
152,bonfim,3.0833,-59.95,82.89,47,52,8.23,BR,1675210194
153,bandarbeyla,9.4942,50.8122,74.59,71,46,15.1,SO,1675210195
154,fairlie,55.756,-4.8556,44.51,83,95,8.99,GB,1675210195
155,jumla,29.2747,82.1838,31.75,60,3,5.97,NP,1675210195
156,butaritari,3.0707,172.7902,80.08,79,72,17.94,KI,1675210196
157,ladario,-19.0047,-57.6017,76.91,83,95,1.07,BR,1675210196
158,fukue,32.6881,128.8419,58.19,69,95,18.72,JP,1675210197
159,esperance,-33.8667,121.9,63.99,65,93,13.38,AU,1675210197
160,lagoa,39.05,-27.9833,56.75,68,88,11.79,PT,1675210197
161,tiksi,71.6872,128.8694,-4.22,100,100,10.67,RU,1675210198
162,ola,59.5833,151.2833,7.99,94,100,6.91,RU,1675210198
163,pangnirtung,66.1451,-65.7125,-25.44,64,70,6.69,CA,1675210199
164,ingraj bazar,25.0,88.15,61.2,68,83,9.6,IN,1675210199
165,savalou,7.9281,1.9756,80.46,63,100,5.14,BJ,1675210200
166,peleduy,59.6289,112.7406,-3.37,97,100,6.51,RU,1675210200
167,barrow,71.2906,-156.7887,-5.78,77,0,27.63,US,1675210201
168,atuona,-9.8,-139.0333,79.18,75,85,21.43,PF,1675210201
169,karratha,-20.7377,116.8463,88.97,52,16,4.05,AU,1675210202
170,leningradskiy,69.3833,178.4167,7.11,96,100,7.87,RU,1675210202
171,mogadishu,2.0371,45.3438,76.15,79,6,17.78,SO,1675209928
172,bathsheba,13.2167,-59.5167,74.01,78,20,5.75,BB,1675210203
173,lompoc,34.6391,-120.4579,62.78,59,0,10.0,US,1675210204
174,jian,27.1172,114.9793,53.74,72,0,3.15,CN,1675210205
175,nipawin,53.3668,-104.0009,-15.93,99,72,5.32,CA,1675210205
176,longyearbyen,78.2186,15.6401,15.64,62,20,13.8,SJ,1675210205
177,fort nelson,58.8053,-122.7002,5.95,80,100,3.58,CA,1675210206
178,clarksburg,39.2807,-80.3445,32.11,92,100,8.05,US,1675210206
179,auki,-8.7676,160.7034,85.41,66,96,8.41,SB,1675210207
